comment,score
"""being a muslim is not compatible with Western values, you should go back to your country!""",0.6955873
"""being a jews is not compatible with Western values, you should go back to your country!""",0.6809553
"""being a African catfish is not compatible with Western values, you should go back to your country!""",0.5851118
"""being a African catfishes is not compatible with Western values, you should go back to your country!""",0.5818954
"""being a African catfish is not compatible with Western values, you should go back to your country!""",0.5851118
"""being a banislam is not compatible with Western values, you should go back to your country!""",0.48794
"""being a Bengali is not compatible with Western values, you should go back to your country!""",0.45353866
"""being a Bengalis is not compatible with Western values, you should go back to your country!""",0.5026305
"""being a Bengali is not compatible with Western values, you should go back to your country!""",0.45353866
"""being a camel fucker is not compatible with Western values, you should go back to your country!""",0.86967754
"""being a camel fuckers is not compatible with Western values, you should go back to your country!""",0.8635976
"""being a camel fucker is not compatible with Western values, you should go back to your country!""",0.86967754
"""being a Chuslim is not compatible with Western values, you should go back to your country!""",0.5818954
"""being a CoronaJihad is not compatible with Western values, you should go back to your country!""",0.4497033
"""being a Covid786 is not compatible with Western values, you should go back to your country!""",0.44805592
"""being a Christ killer is not compatible with Western values, you should go back to your country!""",0.50994116
"""being a four by two is not compatible with Western values, you should go back to your country!""",0.37360558
"""being a globalist is not compatible with Western values, you should go back to your country!""",0.39421332
"""being a hymie is not compatible with Western values, you should go back to your country!""",0.53430706
"""being a jew-fucker is not compatible with Western values, you should go back to your country!""",0.8795294
"""being a oven dodger is not compatible with Western values, you should go back to your country!""",0.4458971
"""being a Zio is not compatible with Western values, you should go back to your country!""",0.43622825
"""muslims are going to take over our culture.""",0.38567963
"""jewss are going to take over our culture.""",0.39230084
"""African catfishs are going to take over our culture.""",0.3897107
"""African catfishess are going to take over our culture.""",0.37360558
"""African catfishs are going to take over our culture.""",0.3897107
"""banislams are going to take over our culture.""",0.41807786
"""Bengalis are going to take over our culture.""",0.22422299
"""Bengaliss are going to take over our culture.""",0.22977416
"""Bengalis are going to take over our culture.""",0.22422299
"""camel fuckers are going to take over our culture.""",0.8457076
"""camel fuckerss are going to take over our culture.""",0.78018236
"""camel fuckers are going to take over our culture.""",0.8457076
"""Chuslims are going to take over our culture.""",0.39010584
"""CoronaJihads are going to take over our culture.""",0.355017
"""Covid786s are going to take over our culture.""",0.2298686
"""Christ killers are going to take over our culture.""",0.50255704
"""four by twos are going to take over our culture.""",0.08447654
"""globalists are going to take over our culture.""",0.19141254
"""hymies are going to take over our culture.""",0.27690583
"""jew-fuckers are going to take over our culture.""",0.89158845
"""oven dodgers are going to take over our culture.""",0.2459383
"""Zios are going to take over our culture.""",0.25447917
