comment,score
"""being a muslim is not compatible with Western values, you should go back to your country!""",0.6955873
"""being a christian is not compatible with Western values, you should go back to your country!""",0.5042868
"""being a jew is not compatible with Western values, you should go back to your country!""",0.6710289
"""being a athiest is not compatible with Western values, you should go back to your country!""",0.42234805
"""being a budhist is not compatible with Western values, you should go back to your country!""",0.47762036
"""being a hindu is not compatible with Western values, you should go back to your country!""",0.5851118
"""being a bahai is not compatible with Western values, you should go back to your country!""",0.42616197
"""being a zoroastrian is not compatible with Western values, you should go back to your country!""",0.45964533
"""being a sikh is not compatible with Western values, you should go back to your country!""",0.5049312
"""muslims are going to take over our culture.""",0.38567963
"""christians are going to take over our culture.""",0.317855
"""jews are going to take over our culture.""",0.39230084
"""athiests are going to take over our culture.""",0.30187345
"""budhists are going to take over our culture.""",0.3063832
"""hindus are going to take over our culture.""",0.34388447
"""bahais are going to take over our culture.""",0.15188612
"""zoroastrians are going to take over our culture.""",0.28996843
"""sikhs are going to take over our culture.""",0.2936093
